Time,acc[0],speed[0],acc_iir
55899000,-0.488085955,43.7007103,-0.058143616
55910000,-0.363671869,42.36710358,-0.276451161
55922000,-0.339746088,41.12914658,-0.349873098
55934000,-0.421093762,40.07151031,-0.350775165
55945000,-0.559863269,38.88457489,-0.365341239
55957000,-0.612500012,37.42269897,-0.426827952
55968000,-0.775195301,36.27206039,-0.505127039
55979000,-0.842187524,34.26330948,-0.597855687
55990000,-0.933105469,31.88903046,-0.701450683
56001000,-0.918750048,29.24098778,-0.792938758
56012000,-0.95224613,27.389431,-0.858283447
56024000,-1.000097632,24.5460434,-0.896223177
56035000,-0.823046863,21.65055656,-0.9355063
56047000,-0.502441406,18.94078827,-0.923746206
56059000,-0.224902347,16.89016724,-0.79550177
56070000,0.334960938,15.82272243,-0.583320385
56081000,0.483300805,15.80093765,-0.269664657
56094000,0.636425793,16.72181892,0.063864304
56105000,0.746484399,18.31314278,0.30757544
56116000,0.870898426,19.6591053,0.49619628
56128000,0.846972644,21.94440079,0.649742042
56141000,0.899609387,25.3012085,0.752530121
56153000,0.880468786,27.88367081,0.811866481
56164000,0.861328125,29.57081223,0.85027691
56175000,0.598144531,32.0628624,0.860409391
56186000,0.626855493,34.36254501,0.796202647
56198000,0.808691442,36.54299545,0.705939605
56209000,0.779980481,38.72801971,0.711754222
56221000,0.808691442,41.02593231,0.752331098
56233000,0.875683606,43.43424225,0.772970359
56245000,0.746484399,45.91678238,0.806980496
56257000,0.622070313,48.21588135,0.808996771
56269000,0.263183594,50.09794617,0.747715376
56280000,-0.10527344,50.98180389,0.597808931
56291000,-0.282324225,51.59261322,0.342867966
56302000,-0.373242199,51.27976608,0.079174538
56313000,-0.411523432,50.29637146,-0.120785818
56325000,-0.301464856,49.04836655,-0.254236114
56336000,-0.110058598,47.9039917,-0.304481015
56348000,-0.239257813,47.32756042,-0.255974889
56359000,-0.373242199,46.6451149,-0.216019604
56370000,-0.421093762,45.84296036,-0.260354681
56383000,-0.550292969,44.69580078,-0.327578456
56395000,-0.602929711,43.21438217,-0.405268864
56407000,-0.703417957,41.42453766,-0.489458691
56419000,-0.57900393,39.43982315,-0.569900796
56430000,-0.540722668,37.52030182,-0.604939329
56442000,-0.425878912,35.78015518,-0.582791037
56453000,-0.239257813,34.36341858,-0.533906097
56464000,-0.234472662,33.62945175,-0.434977977
56475000,-0.253613293,32.8036499,-0.337634472
56486000,-0.258398443,32.05625153,-0.291647908
56498000,-0.282324225,31.16178703,-0.274135046
56509000,-0.291894525,30.22311401,-0.272280817
56520000,-0.37802735,29.26931763,-0.27956689
56532000,-0.291894525,28.65349007,-0.306784982
56544000,-0.38759765,27.39542389,-0.320629353
56556000,-0.277539074,26.73805237,-0.330022439
56567000,-0.114843756,25.80058479,-0.331273389
56579000,-0.033496093,25.06895256,-0.264900308
56590000,0.071777344,24.76066589,-0.171184154
56602000,0.038281251,24.75027657,-0.077667295
56613000,0.009570313,24.84252167,-0.012466281
56625000,-0.019140625,24.83616257,0.005415108
56638000,0.062207032,24.81739807,0.000403166
56651000,-0.023925781,24.8341198,0.010785496
56662000,-0.071777344,24.83604622,0.014890823
56674000,-0.129199222,24.69067955,-0.015937905
56685000,-0.234472662,24.3211441,-0.057482079
56696000,-0.296679705,23.97947502,-0.118583858
56708000,-0.282324225,23.30566406,-0.190809139
56719000,-0.354101568,22.52254677,-0.239302263
56730000,-0.1866211,21.63041115,-0.278075326
56743000,-0.177050784,20.69812775,-0.274285024
56754000,-0.215332031,19.80515862,-0.228859789
56765000,-0.157910153,19.01193047,-0.212808046
56777000,-0.349316418,18.35660934,-0.199940979
56789000,-0.248828128,17.57907867,-0.226313087
56801000,-0.062207032,16.7365284,-0.262063611
56813000,-0.014355469,16.15765762,-0.209711782
56824000,0.200976565,16.01952744,-0.125478689
56835000,0.248828128,16.19231415,-0.017975702
56846000,0.430664063,16.72054482,0.101363421
56857000,0.3828125,17.59079361,0.218493724
56869000,0.330175787,18.62682533,0.310988457
56881000,0.354101568,19.66356087,0.333347863
56894000,0.435449213,20.68639946,0.337667266
56906000,0.401953131,21.78569984,0.365727577
56917000,0.334960938,22.95898056,0.391756369
56928000,0.047851563,23.65096283,0.380308146
56940000,-0.023925781,24.36268997,0.287490426
56952000,0.047851563,24.61609268,0.152108844
56963000,0.119628906,24.64839745,0.083247556
56975000,0.248828128,24.75769424,0.083489636
56986000,0.334960938,25.13889313,0.132988097
56997000,0.344531268,25.87041283,0.211067425
57008000,0.143554688,26.45569038,0.27429422
57020000,0.033496093,27.42337036,0.259430148
57032000,-0.014355469,27.65343094,0.175455396
57044000,-0.023925781,27.73295593,0.093947081
57055000,-0.014355469,27.64270782,0.038380974
57066000,-0.009570313,27.50287819,0.010117501
57078000,0,27.42325974,-0.00073179
57089000,0.210546881,27.44689369,-0.002723428
57100000,0.449804693,27.60745239,0.050341275
57113000,0.468945324,28.53782082,0.187839108
57124000,0.138769537,29.26423645,0.321259384
57135000,-0.076562501,30.1560154,0.312708863
57147000,-0.602929711,30.20943832,0.174340924
57159000,-0.746484399,29.10800552,-0.078257842
57170000,-0.660351574,27.14710236,-0.371325604
57181000,-0.660351574,24.9197197,-0.534500555
57193000,-0.717773438,22.69677162,-0.596337968
57204000,-0.645996094,21.22297668,-0.641898549
57215000,-0.555078149,19.11017609,-0.66154594
57227000,-0.468945324,17.30236435,-0.631569007
57238000,-0.282324225,15.87723064,-0.572824053
57250000,-0.521582067,14.48199749,-0.475934294
57261000,-0.224902347,13.06597805,-0.439583354
57274000,0.282324225,12.14205265,-0.40698636
57285000,0.645996094,12.30871201,-0.192904709
57296000,0.669921875,13.07660675,0.129946803
57309000,0.698632836,15.35601425,0.389387749
57321000,0.598144531,17.27951622,0.534282964
57333000,0.588574231,19.13799667,0.590349276
57344000,0.401953131,20.27750206,0.591828304
57355000,0.358886719,21.66979218,0.544380881
57367000,0.234472662,22.77562714,0.463817994
57378000,0.181835935,23.69431305,0.381693905
57390000,0.028710939,24.32795525,0.296424509
57402000,-0.086132817,24.60067368,0.202501647
57413000,-0.215332031,24.47520828,0.088894397
57424000,-0.593359411,24.17396736,-0.028847222
57435000,-0.430664063,23.23228455,-0.213349946
57446000,-0.57900393,21.83974457,-0.360098639
